event_id,treated_cve,treated_event_date,control_cve,control_future_event_date,candidate_rank_static,static_distance,treated_baseline_epss,treated_baseline_percentile,treated_anchor_offset,control_baseline_epss,control_baseline_percentile,control_anchor_offset,baseline_percentile_distance,match_rank
297,CVE-2022-46945,2025-04-16,CVE-2022-46721,2025-05-19,4,1.5999999999999999,0.00071,0.22439,0.0,0.00078,0.24197,0.0,0.017579999999999985,1
297,CVE-2022-46945,2025-04-16,CVE-2022-2070,2025-05-25,2,0.7000000000000011,0.00071,0.22439,0.0,0.00083,0.25363,0.0,0.029240000000000016,2
298,CVE-2022-47076,2023-06-22,CVE-2022-24521,2025-05-13,10,0.3499999999999998,0.00064,0.26405,1.0,0.00058,0.22723,0.0,0.03682000000000002,1
298,CVE-2022-47076,2023-06-22,CVE-2022-34707,2025-05-16,12,0.3499999999999998,0.00064,0.26405,1.0,0.00053,0.19162,1.0,0.07243,2
298,CVE-2022-47076,2023-06-22,CVE-2022-29154,2025-01-16,5,0.14999999999999963,0.00064,0.26405,1.0,0.00053,0.18827,1.0,0.07578000000000001,3
299,CVE-2022-47636,2023-08-10,CVE-2022-24521,2025-05-13,3,0.05,0.00065,0.26794,1.0,0.00061,0.23886,0.0,0.029080000000000022,1
299,CVE-2022-47636,2023-08-10,CVE-2022-34707,2025-05-16,5,0.05,0.00065,0.26794,1.0,0.00053,0.19162,0.0,0.07632,2
299,CVE-2022-47636,2023-08-10,CVE-2022-37988,2025-05-16,8,0.05,0.00065,0.26794,1.0,0.00052,0.18069,0.0,0.08725000000000002,3
300,CVE-2022-47874,2023-05-05,CVE-2022-31470,2023-09-08,4,0.40000000000000036,0.00047,0.14139,0.0,0.00046,0.13975,0.0,0.0016399999999999748,1
300,CVE-2022-47874,2023-05-05,CVE-2022-4407,2025-04-16,6,0.40000000000000036,0.00047,0.14139,0.0,0.00051,0.17498,0.0,0.03359000000000001,2
300,CVE-2022-47874,2023-05-05,CVE-2022-23824,2025-02-07,12,1.05,0.00047,0.14139,0.0,0.00054,0.19484,0.0,0.053450000000000025,3
301,CVE-2022-47875,2023-05-05,CVE-2022-2601,2025-05-14,11,0.25000000000000105,0.00055,0.20631,0.0,0.00053,0.19303,0.0,0.013279999999999986,1
302,CVE-2022-47876,2023-05-05,CVE-2022-2601,2025-05-14,11,0.25000000000000105,0.00045,0.12439,0.0,0.00053,0.19303,0.0,0.06864,1
303,CVE-2022-47877,2023-05-05,CVE-2022-23513,2023-09-04,2,0.10000000000000053,0.00047,0.14139,0.0,0.00046,0.13975,0.0,0.0016399999999999748,1
303,CVE-2022-47877,2023-05-05,CVE-2022-40258,2025-03-18,6,0.15000000000000052,0.00047,0.14139,0.0,0.00046,0.13975,0.0,0.0016399999999999748,2
303,CVE-2022-47877,2023-05-05,CVE-2022-31470,2023-09-08,11,0.6999999999999993,0.00047,0.14139,0.0,0.00046,0.13975,0.0,0.0016399999999999748,3
307,CVE-2022-47945,2025-02-12,CVE-2022-3236,2025-04-17,5,0.05,0.0709,0.93993,0.0,0.10021,0.9496,0.0,0.009669999999999956,1
307,CVE-2022-47945,2025-02-12,CVE-2022-42475,2025-04-13,3,0.05,0.0709,0.93993,0.0,0.25733,0.96765,0.0,0.027719999999999967,2
307,CVE-2022-47945,2025-02-12,CVE-2022-1388,2025-05-13,7,0.05,0.0709,0.93993,0.0,0.46582,0.97577,0.0,0.03583999999999998,3
308,CVE-2022-48434,2023-05-10,CVE-2022-26872,2025-03-18,6,0.25000000000000105,0.00096,0.39015,0.0,0.00091,0.37731,0.0,0.012840000000000018,1
